gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,gate_mode,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1696.9393,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2236.4589,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,3933.3982,0,0,0,0.2,806.15,
gfx950,256,2,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1719.0784,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2283.5373,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4002.6157,0,0,0,0.4,792.22,
gfx950,256,4,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1739.4892,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2322.5039,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4061.9931,0,0,0,0.78,780.65,
gfx950,256,8,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1779.9358,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2382.1781,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4162.1139,0,0,0,1.52,761.89,
gfx950,256,16,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1828.9636,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2474.8253,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4303.7889,0,0,0,2.95,736.85,
gfx950,256,32,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1839.2184,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2479.9958,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4319.2142,0,0,0,5.87,734.3,
gfx950,256,64,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1841.5195,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2482.5874,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4324.1069,0,0,0,11.73,733.62,
gfx950,256,128,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,16,0,1898.4863,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0%,2582.3398,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0%,4480.8261,0,0,0,22.65,708.27,
gfx950,256,256,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,1915.9183,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0%,2591.7738,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0%,4507.6921,0,0,0,45.02,704.66,
gfx950,256,512,7168,3072,48,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,interleave,32,0,1997.8095,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0%,2695.7285,flydsl_mxmoe_g2_a4w4_32x256x256_atomic_nt,0.0%,4693.538,0,0,0,86.48,677.93,
